FEaverage H2,FEaverage CO,FEaverage CH4,FEaverage C2H4,FE formate,FE acetate,FE EtOH,FE n-PrOH,FE C2+
27.33022441,13.3265819,3.496520464,27.28924956,6.713985799,1.70513925,12.46883077,2.877422485,44.34064206
29.90595024,14.51262992,8.453744882,26.75179843,3.260371438,1.449053973,9.781114314,0,37.98196671
24.77381633,17.73363673,4.565926531,33.70275918,2.369807018,1.263897076,12.63897076,1.421884211,49.02751123
32.90304,15.07392,3.72096,27.31968,3.715640115,1.238546705,8.669826934,1.857820057,39.0858737
21.11179253,26.15447209,5.008794725,24.48949451,8.343545811,2.706014858,4.510024763,0,31.70553413
23.97216549,13.1021568,9.759941486,26.63440457,3.898957088,3.556943309,16.41666142,0,46.6080093
23.57316,21.54532748,8.320925153,33.17471117,2.843768421,2.437515789,13.40633684,1.218757895,50.23732169
41.02215533,18.294092,11.04947467,20.520884,4.837413029,1.535686676,5.528472033,0,27.58504271
14.78551376,13.50984881,5.733862018,31.65823817,5.29427664,2.35301184,15.88282992,1.32356916,51.21764908
18.177,15.27452,9.18632,32.59596,3.598557793,1.845414253,18.2696011,0,52.71097536
28.69140956,17.66711846,3.045777686,27.19838129,4.008136846,1.214586923,9.109401924,0,37.52237013
23.09869763,21.16488247,6.299072165,28.61668485,6.904431193,2.124440367,10.62220183,1.593330275,42.95665732
29.85202386,15.90730328,7.229377408,22.60722543,3.33471447,1.872120404,9.126586969,0,33.6059328
20.45061818,13.03857924,10.17043707,31.16977548,2.703913258,3.327893241,15.8074929,0,50.30516162
22.18365233,18.94219988,8.618022363,33.69171735,2.57329803,2.205684026,12.49887614,0,48.39627752
15.76924402,17.52953751,7.479070296,29.86403219,2.429296366,2.159374547,14.98066092,2.429296366,49.43336402
36.55833804,16.99207639,2.199433846,12.60770801,16.25127106,0.503915382,4.913174971,0,18.02479836
37.25054069,15.58972897,5.081605517,22.33346897,9.288339882,1.061524558,9.022958743,0,32.41795227
30.83717408,17.13604056,4.033054648,20.36959099,6.236260432,3.326005564,7.483512518,0,31.17910907
