Conju-Part-Wt (Max-Conju),Long/Sum Size Ratio,Atom1_ESP Maximal value (kcal/mol),VSA_EState7,SlogP_VSA4,Atom1_ESP Pi (kcal/mol),Conju_LogP_Min,Mid-Fun_PEOE-Charge_Sum,Molecular Size Long,Max Conju-Distance (Max-Conju),PEOE_VSA12,NOCount,Farthest Distance,ALIE Minimal Value,NumRotatableBonds,SlogP_VSA10,Molecular Radius,PEOE_VSA11,c1nc_nH_n1,Conju_LogP_Mean,TPSA,Num of Conju-All-Atoms,Disulfide,Kappa3,Conju_LogP_Max,c1ccc2occcc2c1,Arylbromide,Kappa2,Sulfonic_derivative,Secondary_arom_amine,Primary_arom_amine,NHOHCount,VSA_EState8,Nitro
160.015,0.468170226,67.74378,0.0,6.9237372,12.855155,2.3655,-0.056214879,9.362,3,0.0,0,6.373,9.60617,0,0.0,4.712,0.0,0,2.3655,0.0,6,0,1.281314309,2.3655,0,1,1.967716975,0,0,0,0,2.092685185,0
98.11,0.466737797,87.31371,0.0,6.9237372,14.292954,-0.0248,-0.081141357,8.749,3,5.13155848,3,6.36,9.01385,0,5.13155848,4.38,0.0,0,-0.0248,51.8,6,0,0.865826332,-0.0248,0,0,1.457891532,0,0,1,2,1.869074074,0
0.0,0.74827368,42.329607,23.11900285,0.0,13.935305,0.0,-0.077160952,27.199,0,0.0,0,24.205,8.03704,16,0.0,13.603,0.0,0,0.0,0.0,0,0,18.35,0.0,0,0,18.35,0,0,0,0,2.292060923,0
0.0,0.609954292,42.316856,8.266319051,0.0,13.912307,0.0,-0.077160952,14.412,0,0.0,0,11.419,8.03745,6,0.0,7.21,0.0,0,0.0,0.0,0,0,8.35,0.0,0,0,8.35,0,0,0,0,2.248621863,0
262.225,0.526644768,56.118015,0.0,0.0,12.577593,2.8205,-0.130646108,16.514,10,5.783244946,4,13.57,9.62038,5,5.687386275,8.285,0.0,0,2.8205,50.52,19,0,2.919790705,2.8205,1,0,6.380383153,0,0,0,0,5.903674016,0
0.0,0.422791597,44.263701,0.0,0.0,14.004036,0.0,-0.077459777,6.782,0,0.0,0,3.958,8.05728,0,0.0,3.179,0.0,0,0.0,0.0,0,0,2.35,0.0,0,0,2.35,0,0,0,0,1.989197531,0
225.659,0.499009209,53.768391,0.0,0.0,14.276778,4.5482,0.30491267,12.843,8,0.0,1,9.957,8.53167,0,11.37477255,6.454,0.0,0,4.5482,12.03,15,0,1.598891782,4.5482,0,0,3.472455621,0,1,0,1,0.0,0
190.206,0.492317199,47.647292,0.0,0.0,13.43941,3.7536,-0.450199861,11.951,7,0.0,1,9.698,8.55454,0,11.37477255,6.049,0.0,0,3.7536,3.24,14,0,1.329379353,3.7536,0,0,3.31405827,0,0,0,0,0.0,0
72.092,0.38271294,1.309989,0.0,0.0,9.512251,-0.4442,-0.350613786,7.598,2,0.0,2,5.337,7.37876,0,0.0,3.869,5.112436885,0,-0.4442,15.27,4,0,0.825120628,-0.4442,0,0,1.657365899,0,0,0,1,2.063657407,0
0.0,0.374815647,47.294903,1.694444444,0.0,14.372363,0.0,-0.080898635,5.337,0,0.0,0,3.326,8.09607,0,0.0,2.863,0.0,0,0.0,0.0,0,0,1.207142857,0.0,0,0,1.35,0,0,0,0,0.0,0
148.142,0.505753791,63.936786,1.954140684,0.0,13.799755,1.9412,-0.05006415,11.339,6,0.0,2,8.829,8.56562,2,0.0,5.775,0.0,0,1.9412,37.3,10,0,1.980697148,1.9412,0,0,3.436571192,0,0,0,1,0.0,0
120.132,0.462918124,41.812481,2.00633031,0.0,13.923862,1.9486,0.072575855,10.324,5,0.0,1,8.023,7.95888,1,0.0,5.211,0.0,0,1.9486,20.23,8,0,1.643974701,1.9486,0,0,2.780922204,0,0,0,1,0.0,0
0.0,0.547158026,55.94606,-9.651574857,0.0,14.395269,0.0,-2.042467986,14.892,0,0.0,0,11.663,8.25931,6,57.07539562,7.167,0.0,0,0.0,0.0,0,0,2.817149049,0.0,0,0,5.510636095,0,0,0,0,0.0,0
180.125,0.419631126,71.304656,0.0,23.26888336,13.800854,2.5317,3.365105676,8.623,5,0.0,0,6.007,9.04886,0,17.56166019,4.203,23.26888336,0,2.5317,0.0,11,0,1.326802604,2.5317,0,0,2.730925196,0,0,0,0,0.0,0
104.133,0.465224331,86.447299,0.0,0.0,8.957976,1.5924,0.123619792,13.117,4,0.0,5,11.103,10.65939,4,4.481273115,6.751,0.0,0,1.5924,71.52,14,0,2.575785716,1.5924,0,0,5.312080972,2,0,0,0,0.0,0
44.009,0.49207662,63.0916,-0.234962233,0.0,14.540745,-0.9263,-0.743941758,14.874,2,11.81435946,9,12.571,8.25005,9,0.0,7.645,0.0,0,-0.67425,158.82,12,0,7.586610574,-0.4222,0,0,9.150713742,0,0,0,6,-0.566597345,0
44.009,0.420150107,63.572559,0.0,0.0,15.188635,-0.4222,-0.188349935,8.453,2,0.0,3,5.399,8.23662,2,0.0,4.059,0.0,0,-0.4222,63.32,3,0,2.472041522,-0.4222,0,0,2.872924705,0,0,0,3,0.0,0
44.009,0.48431105,85.716468,0.0,0.0,15.831529,-0.4222,-0.410630467,12.78,2,0.0,6,9.751,8.54959,7,0.0,6.396,0.0,0,-0.4222,126.64,6,1,6.080830818,-0.4222,0,0,6.932440045,0,0,0,6,0.0,0
44.009,0.474979306,83.951304,0.0,0.0,16.519479,-0.4222,-0.410630467,12.624,2,0.0,6,9.601,8.47873,7,0.0,6.321,0.0,0,-0.4222,126.64,6,1,6.080830818,-0.4222,0,0,6.932440045,0,0,0,6,0.0,0
