MaxPartialCharge,ESP Minimal Value,Mid-Fun_PEOE-Charge_Sum,Atom_MR_Delta,MinAbsPartialCharge,VSA_EState7,EState_VSA10,Mid-Fun_PEOE-Charge_Mean,NumAliphaticRings,Tri_boron,Iaverage / mA cm-2,SlogP_VSA5,PEOE_VSA12,Arylchloride,Octopole Moment,SlogP_VSA4,PEOE_VSA9,ALIE Maximal Value,Arylthiol,ODI HOMO-1,Primary_arom_amine,NHOHCount,EState_VSA5,NumHDonors,Atom_PEOE-Charge_Min,Alkene,Arylfluoride,PEOE_VSA14,Secondary_aliph_amine,Fun_PEOE-Charge_Mean,MaxAbsPartialCharge
0.079706993,-63.60594,-0.305812528,5.8672,0.079706993,0.746527778,0.0,-0.152906264,0,0,148.0,10.57107519,0.0,0,123.8467,6.9237372,11.20446727,16.50208,0,31.54,0,1,4.877147194,1,-0.396020203,0,0,0.0,0,-0.163923163,0.395999148
0.070075593,-10.75382,-0.056214879,7.87,0.070075593,0.0,0.0,-0.056214879,0,0,127.0,4.877147194,0.0,0,42.7008,6.9237372,3.786415218,15.79,0,37.57,0,0,8.663562412,0,-0.133645502,0,0,0.0,0,-0.02810744,0.133632984
0.20255708,-77.04653,-0.081141357,5.7283,0.20255708,0.0,0.0,-0.081141357,0,0,92.0,5.007623697,5.13155848,0,58.5297,6.9237372,0.0,17.32477,0,30.74,1,2,11.33678588,1,-0.373671324,0,0,0.0,0,-0.040570679,0.373673649
-0.009791409,-34.30227,-0.077160952,6.534,0.009791409,23.11900285,0.0,-0.077160952,0,0,92.33333333,109.6568832,0.0,0,1147.4358,0.0,0.0,14.81849,0,36.06,0,0,102.733146,1,-0.179381399,0,0,0.0,0,-0.077160952,0.179363901
-0.009791409,-34.21874,-0.077160952,6.534,0.009791409,8.266319051,0.0,-0.077160952,0,0,97.33333333,45.44866694,0.0,0,190.7342,0.0,0.0,14.84478,0,36.03,0,0,38.52492974,1,-0.179381399,0,0,0.0,0,-0.077160952,0.179363901
0.347095087,-81.48576,-0.130646108,6.4695,0.347095087,0.0,9.589074368,-0.021774351,0,0,143.6666667,29.76891457,5.783244946,0,420.561,0.0,0.0,17.06511,0,8.34,0,0,11.33678588,0,-0.422118306,0,0,5.625586319,0,-0.04108179,0.422110085
-0.012640479,-33.41069,-0.077459777,6.534,0.012640479,0.0,0.0,-0.077459777,0,0,127.0,6.9237372,0.0,0,16.0166,0.0,0.0,14.42308,0,37.02,0,0,0.0,1,-0.17966994,0,0,0.0,0,-0.077459777,0.17965217
0.054080776,-25.80033,0.30491267,6.6283,0.054080776,0.0,0.0,0.060982534,1,0,147.0,0.0,0.0,1,169.9295,0.0,11.37477255,17.36563,0,9.16,0,1,9.790966951,1,-0.353639637,0,0,0.0,0,3.05e-17,0.35363447
0.054971712,-26.1511,-0.450199861,6.534,0.054971712,0.0,0.0,-0.112549965,1,0,146.0,0.0,0.0,0,39.1444,0.0,11.37477255,16.77773,0,8.45,0,0,21.1657395,0,-0.342787246,0,0,0.0,0,-0.037516655,0.342776791
0.168293889,-57.70257,-0.350613786,6.6283,0.168293889,0.0,0.0,-0.350613786,1,0,91.0,0.0,0.0,0,32.0991,0.0,0.0,16.933,0,8.1,0,1,0.0,1,-0.360799373,0,0,0.0,1,-0.350613786,0.360795474
-0.021450825,-32.59082,-0.080898635,6.534,0.021450825,1.694444444,0.0,-0.080898635,0,0,116.6666667,0.0,0.0,0,11.6408,0.0,0.0,14.11076,0,38.25,0,0,0.0,1,-0.1828219,0,0,0.0,0,-0.080898635,0.182803759
