Atom_MR_Std,EState_VSA7,Atom1_ESP All average (kcal/mol),Iaverage / mA cm-2,Fun_PEOE-Charge_Std,NumAliphaticRings,Long/Sum Size Ratio,VSA_EState7,NumAliphaticCarbocycles,c1ccncc1,Tri_boron,PEOE_VSA10,NumSaturatedCarbocycles,SMR_VSA4,Arylchloride,SlogP_VSA5,NumHDonors,Farthest Distance,Atom1_ESP Pi (kcal/mol),Fun_PEOE-Charge_Delta,SlogP_VSA4,SlogP_VSA7,Tertiary_arom_amine,Alkylfluoride,Alcohol,NumSaturatedRings,Molecular Size Long,Conju_PEOE-Charge_Delta,Conju_PEOE-Charge_Std,c1nc_nH_n1,c1c_nH_cn1,c1ccc2sc_n+_c2c1,c1cc_nH_c1,Atom_PEOE-Charge_Sum,Alkene,HOMO,SMR_VSA10,SMR_VSA5,Amide,Secondary_arom_amine,Trifluoromethyl
2.098230922,13.8474744,-10.30309,96.0,0.0,0,0.38010111,0.0,0,0,0,0.0,0,0.0,0,13.8474744,2,5.158,13.877165,0.0,0.0,0.0,0,0,0,0,7.293,0.0,0.0,0,0,0,0,-1.21e-16,0,-0.236683,25.2575783,24.34735046,0,0,0
1.720832685,0.0,-3.60481,103.0,0.036867587,0,0.448794621,0.0,0,0,0,0.0,0,0.0,0,11.12690298,0,9.699,13.423975,0.113554822,13.8474744,0.0,0,0,0,0,12.082,0.0,0.0,0,0,0,0,-2.78e-17,0,-0.23279,21.58779595,23.63844135,0,0,0
1.583156907,6.9237372,48.01166,102.6666667,0.105704887,0,0.452429993,0.0,0,0,0,0.0,0,5.138973738,0,5.563451492,1,8.197,15.52818,0.211409774,6.9237372,0.0,0,0,0,0,10.324,0.0,0.0,0,0,0,0,5.55e-17,0,-0.264394,10.02329115,11.81922068,0,0,0
1.455970303,6.9237372,28.38766,148.0,0.031160496,0,0.411276949,0.746527778,0,0,0,0.0,0,0.0,0,10.57107519,1,6.713,12.347912,0.066101394,6.9237372,0.0,0,0,1,0,8.928,0.0,0.0,0,0,0,0,2.5e-16,0,-0.238489,11.33678588,13.34455882,0,0,0
2.387558097,0.0,17.80195,127.0,0.010833336,0,0.468170226,0.0,0,0,0,0.0,0,0.0,0,4.877147194,0,6.373,12.855155,0.021666672,6.9237372,0.0,0,0,0,0,9.362,0.0,0.0,0,0,0,0,-8.33e-17,0,-0.227315,27.26672978,6.9237372,0,0,0
1.638681619,6.9237372,31.50856,92.0,0.01580892,0,0.466737797,0.0,0,0,0,5.007623697,0,0.0,0,5.007623697,1,6.36,14.292954,0.03161784,6.9237372,0.0,0,0,0,0,8.749,0.0,0.0,0,0,0,0,-1.11e-16,0,-0.234146,16.46834436,6.9237372,0,0,0
1.042517583,0.0,-8.5482,92.33333333,0.0,0,0.74827368,23.11900285,0,0,0,0.0,0,0.0,0,109.6568832,1,24.205,13.935305,0.0,0.0,0.0,0,0,0,0,27.199,0.0,0.0,0,0,0,0,1.53e-16,0,-0.239559,12.62878915,109.6568832,0,0,0
1.324730506,0.0,-8.48651,97.33333333,0.0,0,0.609954292,8.266319051,0,0,0,0.0,0,0.0,0,45.44866694,1,11.419,13.912307,0.0,0.0,0.0,0,0,0,0,14.412,0.0,0.0,0,0,0,0,8.33e-17,0,-0.239601,12.62878915,45.44866694,0,0,0
1.439569987,23.57916398,12.01628,143.6666667,0.277832269,0,0.526644768,0.0,0,0,0,11.14647163,0,0.0,0,29.76891457,0,13.57,12.577593,0.749999411,0.0,0.0,1,0,0,0,16.514,0.0,0.0,0,0,0,0,4.44e-16,0,-0.207153,33.77666146,13.8474744,0,0,0
2.017492613,6.9237372,-7.50502,127.0,0.0,0,0.422791597,0.0,0,0,0,0.0,0,0.0,0,6.9237372,1,3.958,14.004036,0.0,0.0,0.0,0,0,0,0,6.782,0.0,0.0,0,0,0,0,0.0,0,-0.241222,12.62878915,6.9237372,0,0,0
