Conju-Part-Wt (Max-Conju),VSA_EState7,Fun_MR_Sum,Num of Conju-All-Atoms,Conju_PEOE-Charge_Max,Fun_LogP_Sum,EState_VSA10,SMR_VSA9,Conju_LogP_Max,PEOE_VSA12,NumSaturatedRings,Conju_MR_Sum,Octopole Moment,VSA_EState8,Conju_LogP_Min,SlogP_VSA10,PEOE_VSA14,MolLogP,Mid-Fun_LogP_Delta,Arylchloride,MaxAbsEStateIndex,NumAliphaticRings,Length/Diameter,Conju_LogP_Mean,EState_VSA2,NumRotatableBonds,SlogP_VSA7,MaxAbsPartialCharge,Secondary_arom_amine,Fun_LogP_Min,Thioacetal,EState_VSA6,Atom1_ALIE Min value,SlogP_VSA6,Mid-Fun_MR_Delta,EState_VSA5,Sulfon,HOMO,Primary_arom_amine,Alkene,c1ccc2sc_n+_c2c1,Nitro,c1ccc2occcc2c1,Lactone,Farthest Distance,Oxoarene,Conju_PEOE-Charge_Delta,c1ccsc1,Conju_PEOE-Charge_Std
72.066,1.373677485,25.544,6,-0.013187509,1.5415,0.0,0.0,1.5415,0.0,1,25.544,113.1504,0.0,1.5415,0.0,0.0,3.5553,0.0,0,2.23212963,1,0.995816289,1.5415,0.0,1,0.0,0.142719014,0,1.5415,1,0.0,8.000043,30.33183534,0.0,23.48998033,0,-0.219517,0,0,0,0,0,0,8.356,0,0.0,0,0.0
0.0,0.0,15.182,0,0.0,1.2964,0.0,0.0,0.0,0.0,0,0.0,20.1901,13.47861111,0.0,0.0,0.0,3.9648,0.0,0,2.246435185,0,0.991926503,0.0,0.0,1,0.0,0.087633231,0,1.2964,0,0.0,8.169461,0.0,0.0,0.0,0,-0.223798,0,0,0,0,0,0,8.375,0,0.0,0,0.0
0.0,0.0,8.986,0,0.0,0.3805,0.0,0.0,0.0,0.0,0,0.0,94.9984,18.32766975,0.0,0.0,0.0,4.4032,0.0,0,4.723294753,0,1.035255162,0.0,10.16201292,3,0.0,0.172499827,0,0.3805,0,0.0,7.836179,0.0,0.0,0.0,0,-0.232072,0,0,0,0,0,0,7.868,0,0.0,0,0.0
58.085,0.0,0.0,3,-0.070027387,0.0,0.0,0.0,-0.2207,0.0,0,16.7854,39.3642,3.949074074,-0.2207,0.0,0.0,0.9285,0.0,0,5.166666667,0,1.01504065,-0.2207,0.0,1,0.0,0.393106796,0,0.0,0,0.0,7.38898,0.0,0.0,0.0,0,-0.217332,0,0,0,0,0,0,4.98,0,0.0,0,0.0
58.085,0.0,0.0,3,-0.076853784,0.0,0.0,0.0,-0.2207,0.0,0,16.7854,32.2548,1.675925926,-0.2207,0.0,0.0,0.2924,0.0,0,4.842592593,0,1.034051859,-0.2207,0.0,0,0.0,0.39355196,0,0.0,0,6.9237372,7.403043,0.0,0.0,0.0,0,-0.218642,0,0,0,0,0,0,4.002,0,0.0,0,0.0
0.0,0.0,17.972,0,0.0,0.761,0.0,0.0,0.0,0.0,0,0.0,34.6807,4.057098765,0.0,0.0,0.0,1.623,0.0,0,4.116512346,0,0.964937814,0.0,0.0,1,0.0,0.175082201,0,0.3805,0,0.0,8.050209,0.0,0.0,0.0,0,-0.236683,0,0,0,0,0,0,5.158,0,0.0,0,0.0
208.266,0.0,93.166,14,-0.088259299,6.7886,0.0,0.0,4.1958,0.0,0,62.802,77.5775,4.225321622,4.1958,0.0,0.0,5.10284,1.4497,0,2.167847222,0,0.998677467,4.1958,0.0,3,0.0,0.058182115,0,0.6482,0,21.58779595,8.544699,58.3219035,23.81,20.91786993,0,-0.23279,0,0,0,0,0,0,9.699,0,0.0,0,0.0
104.133,0.0,36.9172,7,0.321160919,0.1889,8.417796984,0.0,1.4473,10.02329115,0,31.175,173.5453,1.8818613,1.4473,0.0,0.0,0.64242,0.0,0,10.72194822,0,0.974329936,1.4473,4.895483476,1,0.0,0.237545435,0,-1.2608,0,12.13273414,14.074406,29.16095175,0.0,12.13273414,0,-0.264394,0,0,0,0,0,0,8.197,0,0.0,0,0.0
82.107,0.746527778,24.7556,5,-0.119855567,-0.2611,0.0,0.0,0.8529,0.0,0,20.318,123.8467,2.185046296,0.8529,0.0,0.0,0.98632,1.4099,0,8.541388889,0,0.979806848,0.8529,6.606881965,2,0.0,0.395999148,0,-0.557,0,16.84732515,9.734648,5.510539274,18.0992,4.877147194,0,-0.238489,0,0,0,0,0,0,6.713,0,0.0,0,0.0
160.015,0.0,31.121,6,-0.056214879,2.3655,0.0,0.0,2.3655,0.0,0,31.121,42.7008,2.092685185,2.3655,0.0,0.0,2.81902,0.0,0,3.350601852,0,0.993421053,2.3655,0.0,0,0.0,0.133632984,0,0.8456,0,11.33678588,9.606172,15.91914935,0.0,8.663562412,0,-0.227315,0,0,0,0,0,0,6.373,0,0.0,1,0.0
98.11,0.0,23.4234,6,-0.081141357,-0.0248,0.0,0.0,-0.0248,5.13155848,0,23.4234,58.5297,1.869074074,-0.0248,5.13155848,0.0,0.42872,0.0,0,5.223518519,0,0.998744292,-0.0248,0.0,0,0.0,0.373673649,0,-0.5986,0,0.0,9.817609,0.0,0.0,11.33678588,0,-0.234146,1,0,0,0,0,0,6.36,0,0.0,0,0.0
0.0,23.11900285,8.986,0,0.0,0.3805,0.0,0.0,0.0,0.0,0,0.0,1147.4358,2.292060923,0.0,0.0,0.0,7.1777,0.0,0,4.243257212,0,0.999742704,0.0,0.0,16,0.0,0.179363901,0,0.3805,0,0.0,8.037036,0.0,0.0,102.733146,0,-0.239559,0,0,0,0,0,0,24.205,0,0.0,0,0.0
0.0,8.266319051,8.986,0,0.0,0.3805,0.0,0.0,0.0,0.0,0,0.0,190.7342,2.248621863,0.0,0.0,0.0,3.2767,0.0,0,4.145649364,0,0.999445215,0.0,0.0,6,0.0,0.179363901,0,0.3805,0,0.0,8.037445,0.0,0.0,38.52492974,0,-0.239601,0,0,0,0,0,0,11.419,0,0.0,0,0.0
