PEOE_VSA8,Disulfide,EState_VSA7,Atom1_ESP Pi (kcal/mol),c1ccncc1,Primary_arom_amine,NumAliphaticRings,PEOE_VSA12,NumSaturatedRings,Conju_LogP_Std,Alkene,Atom_PEOE-Charge_Sum,c1nc_nH_n1,c1c_nH_cn1,c1cc_nH_c1,c1ccc2_nH_ccc2c1,Atom_PEOE-Charge_Mean,c1ccc2cc3ccccc3cc2c1,c1cn_nH_c1,c1cc2ccc(ccnccc3ccc(ccn1)_nH_3)_nH_2,c1nnn_nH_1,c1ccc2ncccc2c1,c1nncs1,Alkylchloride,Alkylbromide,Tertiary_aliph_amine,Aldehyde,Oxime,Acetal,Hemiacetal,Chloroalkene,Bromoalkene,Enol,Carboxylic_ester,Nitrile,Aryliodide,Azo,Phosphonic_acid_derivative,Sugar_pattern_combi,SMR_VSA2,Sulfon,Conju_PEOE-Charge_Std,Conju_MR_Std,Conju_MR_Delta,Tri_boron,c1ccc2sc_n+_c2c1,Amide,Conju_PEOE-Charge_Delta,VSA_EState1,Alkylfluoride,Trifluoromethyl,c1ccc2occcc2c1,Lactone,Oxoarene,Arylfluoride,Thioacetal,SlogP_VSA10,Iaverage / mA cm-2,Kappa1,Fun_MR_Min,Mid-Fun_LogP_Delta,Atom Number,Alcohol,Althoxyl,HOMO,EState_VSA4,Chi1v,Tertiary_arom_amine,Secondary_aliph_amine
10.49987606,0,13.8474744,13.877165,0,0,0,0.0,0,0.0,0,-1.21e-16,0,0,0,0,-7.59e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,96.0,6.7,8.986,0.0,16,0,0,-0.236683,0.0,3.03722721,0,0
9.790966951,1,0.0,13.423975,0,0,0,0.0,0,0.0,0,-2.78e-17,0,0,0,0,-9.25e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,103.0,11.62030784,7.591,1.4497,30,0,0,-0.23279,0.0,7.367479281,0,0
0.0,0,6.9237372,15.52818,0,0,0,10.02329115,0,0.0,0,5.55e-17,0,0,0,0,2.78e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,21.44389645,0,0,0,0,0,0,0,0.0,102.6666667,8.228716683,13.1072,0.0,20,0,0,-0.264394,5.563451492,4.640846422,0,0
17.90485078,0,6.9237372,12.347912,0,0,0,0.0,0,0.0,0,2.5e-16,0,0,0,0,1.39e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,148.0,6.706414435,2.2188,1.4099,18,1,1,-0.238489,12.11474962,3.721066061,0,0
4.877147194,0,0.0,12.855155,0,0,0,0.0,0,0.0,0,-8.33e-17,0,0,0,0,-6.94e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,1.212962963,0,0,0,0,0,0,0,0.0,127.0,5.319275766,8.927,0.0,12,0,0,-0.227315,0.0,3.61740898,0,0
0.0,0,6.9237372,14.292954,0,1,0,5.13155848,0,0.0,0,-1.11e-16,0,0,0,0,-9.25e-18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,5.13155848,92.0,4.517232704,4.7524,0.0,12,0,0,-0.234146,5.007623697,2.660633601,0,0
0.0,0,0.0,13.935305,0,0,0,0.0,0,0.0,0,1.53e-16,0,0,0,0,2.68e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,92.33333333,19.35,8.986,0.0,57,0,0,-0.239559,5.752853607,9.655790079,0,0
0.0,0,0.0,13.912307,0,0,0,0.0,0,0.0,0,8.33e-17,0,0,0,0,3.08e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,97.33333333,9.35,8.986,0.0,27,0,0,-0.239601,5.752853607,4.655790079,0,0
41.17300463,0,23.57916398,12.577593,0,0,0,5.783244946,0,0.0,0,4.44e-16,0,0,0,0,1.11e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,5.392146636,0,0,1,1,1,0,0,5.687386275,143.6666667,15.49396194,2.819,1.8834,40,0,0,-0.207153,24.1631233,8.477053779,1,0
0.0,0,6.9237372,14.004036,0,0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,127.0,3.35,8.986,0.0,9,0,0,-0.241222,5.752853607,1.655790079,0,0
