Conju-Strut Wiener Index (Max-Conju),NumAromaticRings,Fun_PEOE-Charge_Mean,Full-Mol Wiener Index,Conju_PEOE-Charge_Max,Mid-Fun_LogP_Delta,Chi2v,PEOE_VSA9,Atom_MR_Max,Occupied Orbitals,Atom1_ALIE Min value,PEOE_VSA1,Alcohol,ExactMolWt,Conju_LogP_Std,Atom_LogP_Max,Mid-Fun_PEOE-Charge_Mean,VSA_EState8,LUMO,Conju_PEOE-Charge_Min,Althoxyl,Sulfon,Num of Conju-Strut,VSA_EState3,LabuteASA,Conju_MR_Std,Nitro,Conju_MR_Delta,Arylchloride,Primary_arom_amine,Conju_PEOE-Charge_Mean,Conju_PEOE-Charge_Delta,HeavyAtomMolWt,Arylfluoride,MaxAbsPartialCharge,Conju_PEOE-Charge_Sum,c1ccc2sc_n+_c2c1,MolWt,c1nc_nH_n1,Chi2n,SlogP_VSA7,VSA_EState9,Chi0v,Mid-Fun_PEOE-Charge_Max,Fun_PEOE-Charge_Sum,Octopole Moment,NumAliphaticCarbocycles,Conju_PEOE-Charge_Std,ALIE Average Value,PEOE_VSA6,Max Conju-Distance (Max-Conju),PEOE_VSA4,Amide,Sulfonic_derivative,c1c_nH_cn1,Conju_LogP_Delta,NumHDonors,Tri_boron,c1cc_nH_c1,c1ccc2_nH_ccc2c1,c1ccc2cc3ccccc3cc2c1,Atom_PEOE-Charge_Sum,c1cn_nH_c1,Mid-Fun_PEOE-Charge_Sum,c1cc2ccc(ccnccc3ccc(ccn1)_nH_3)_nH_2,c1nnn_nH_1,c1ccc2ncccc2c1,c1nncs1,Alkylchloride,Alkylbromide,Atom_LogP_Delta,Tertiary_aliph_amine,Aldehyde,Oxime,Acetal,Hemiacetal,Chloroalkene,Molecule Weight,Bromoalkene,Enol,Carboxylic_ester,Atom_PEOE-Charge_Mean,Nitrile,Aryliodide,Azo,Alkene,LEAE Minimal Value,Quadrupole Moment,NumHAcceptors,PEOE_VSA3,Lactam,Atom1_ESP Pi (kcal/mol)
0.75,1,-0.084344237,1.291666667,-0.040070805,2.0252,2.682123914,6.420821623,6.691,37,9.586983,5.106527395,0,142.0088504,1.0126,0.6237,-0.084344237,0.0,-0.02707,-0.12861767,0,0,2,10.16523148,56.75740647,7.8926,0,15.7852,0,0,-0.084344237,0.088546866,136.131,0,0.480964593,-0.168688475,0,142.179,0,1.649878731,0.0,0.0,5.519364346,-0.040070805,-0.168688475,141.1088,0,0.044273433,12.59235,6.066367068,2,0.0,0,0,0,2.0252,1,0,0,0,0,-1.94e-16,0,-0.168688475,0,0,0,0,0,0,0.913,0,0,0,0,0,0,142.17566,0,0,0,-1.3e-17,0,0,0,0,-0.40162,16.711609,2,0.0,0,12.823732
0.0,0,-0.073428046,0.0,0.0,0.0,3.022130691,0.0,7.591,32,8.00382,0.0,0,116.0659714,0.0,0.6482,-0.073428046,0.0,0.021277,0.0,0,0,0,0.730324074,50.71319711,0.0,0,0.0,0,0,0.0,0.0,104.133,0,0.175930136,0.0,0,116.229,0,2.291833947,0.0,0.0,5.454524962,-0.073428046,-0.073428046,37.8531,1,0.0,11.90012,19.26246487,0,12.62878915,0,0,0,0.0,1,0,0,0,0,3.47e-17,0,-0.073428046,0,0,0,0,0,0,0.9159,0,0,0,0,0,0,116.22449,0,0,0,1.83e-18,0,0,0,0,0.0,7.112867,1,0.0,0,13.423698
0.0,0,-0.266000843,0.0,0.0,0.0,1.727727507,13.21376393,7.365,28,11.255411,0.0,0,107.988115,0.0,0.123,-0.266000843,0.929783951,-0.032195,0.0,2,0,0,0.0,38.1177144,0.0,0,0.0,0,0,0.0,0.0,104.086,0,0.304265896,0.0,0,108.118,0,0.848074696,0.0,0.0,3.863703305,-0.266000843,-0.532001686,31.6184,0,0.0,13.32996,0.0,0,4.208898492,0,0,0,0.0,0,0,0,0,0,2.78e-16,0,-0.532001686,0,0,0,0,0,0,0.4569,0,0,0,0,0,0,108.11624,0,0,0,2.78e-17,0,0,0,0,-1.3566,8.424407,3,0.0,0,11.727479
0.9,1,-0.013187509,1.5,-0.013187509,0.0,5.562114049,4.581970014,7.591,52,8.000043,0.0,0,196.0380424,0.0,0.6482,-0.013187509,0.0,-0.020759,-0.013187509,0,0,1,0.0,82.13156047,0.0,0,0.0,0,0,-0.013187509,0.0,184.244,0,0.142719014,-0.013187509,0,196.34,0,2.837745922,0.0,0.0,8.534911701,-0.013187509,-0.013187509,113.1504,0,0.0,11.85953,30.33183534,3,0.0,0,0,0,0.0,0,0,0,0,0,-5.55e-17,0,-0.013187509,0,0,0,0,0,0,0.8517,0,0,0,0,0,0,196.33222,0,0,0,-2.31e-18,0,0,0,0,-0.37921,17.53599,2,0.0,0,14.389348
0.0,0,-0.175297376,0.0,0.0,0.0,8.174234614,0.0,7.591,49,8.169461,0.0,0,178.0849926,0.0,0.6482,-0.175297376,13.47861111,-0.021237,0.0,0,0,0,0.0,72.94002797,0.0,0,0.0,0,0,0.0,0.0,160.222,0,0.087633231,0.0,0,178.366,0,4.391411538,0.0,3.914351852,9.449489743,-0.175297376,-0.175297376,20.1901,0,0.0,11.87926,63.13021915,0,0.0,0,0,0,0.0,0,0,0,0,0,2.08e-17,0,-0.175297376,0,0,0,0,0,0,0.8533,0,0,0,0,0,0,178.3584,0,0,0,7.43e-19,0,0,0,0,-0.60513,11.478399,2,0.0,0,13.310148
0.0,0,-0.069697112,0.0,0.0,0.0,7.178439358,0.0,7.591,57,7.836179,0.0,0,202.1755218,0.0,0.6482,-0.069697112,18.32766975,0.015539,0.0,0,0,0,0.0,89.90868095,0.0,0,0.0,0,0,0.0,0.0,176.199,0,0.172499827,0.0,0,202.407,0,6.060405369,0.0,0.0,11.41899106,-0.069697112,-0.069697112,94.9984,0,0.0,11.94662,55.3898976,0,12.62878915,0,0,0,0.0,1,0,0,0,0,-2.36e-16,0,-0.069697112,0,0,0,0,0,0,0.9159,0,0,0,0,0,0,202.40008,0,0,0,-6.05e-18,0,0,0,0,0.0,11.509164,1,0.0,0,13.388496
0.666666667,0,0.0,0.966666667,-0.070027387,0.0,2.028473986,4.988502102,7.591,28,7.38898,5.733667477,0,103.0455703,0.0,0.6482,0.0,3.949074074,-0.033203,-0.070027387,0,0,1,0.0,43.53274832,0.0,0,0.0,0,0,-0.070027387,0.0,94.118,0,0.393106796,-0.070027387,0,103.19,0,1.557069465,0.0,0.0,4.87944541,0.0,0.0,39.3642,0,0.0,11.94114,26.06534784,2,0.0,0,0,0,0.0,1,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,1.6672,0,0,0,0,0,0,103.1859,0,0,0,0.0,0,0,0,0,-1.03706,10.434301,1,0.0,0,9.394585
0.666666667,0,0.0,0.75,-0.076853784,0.0,1.254600961,4.988502102,7.591,20,7.403043,5.733667477,0,75.01427016,0.0,0.6482,0.0,1.675925926,-0.032622,-0.076853784,0,0,1,0.0,30.80286409,0.0,0,0.0,0,0,-0.076853784,0.0,70.096,0,0.39355196,-0.076853784,0,75.136,0,0.61065041,0.0,0.0,3.302095141,0.0,0.0,32.2548,0,0.0,11.82765,12.21787344,2,0.0,0,0,0,0.0,1,0,0,0,0,-3.05e-16,0,0.0,0,0,0,0,0,0,1.6672,0,0,0,0,0,0,75.13267,0,0,0,-3.39e-17,0,0,0,0,-1.03244,5.459704,1,0.0,0,9.79053
0.0,0,-0.072549236,0.0,0.0,0.0,3.110287196,0.0,7.591,33,8.050209,0.0,0,122.0223923,0.0,0.6482,-0.072549236,4.057098765,0.007418,0.0,0,0,0,0.820987654,50.1442107,0.0,0,0.0,0,0,0.0,0.0,112.178,0,0.175082201,0.0,0,122.258,0,1.481206843,0.0,0.0,5.837982111,-0.072549236,-0.145098471,34.6807,0,0.0,11.67136,13.8474744,0,25.2575783,0,0,0,0.0,2,0,0,0,0,-1.21e-16,0,-0.145098471,0,0,0,0,0,0,0.9159,0,0,0,0,0,0,122.25193,0,0,0,-7.59e-18,0,0,0,0,0.0,9.220101,2,0.0,0,13.877165
1.884615385,2,-0.042643609,2.116666667,-0.088259299,1.4497,6.068914101,0.0,7.591,65,8.544699,0.0,0,246.0536924,0.0,0.6482,-0.093880526,4.225321622,-0.069927,-0.088259299,0,0,1,0.0,104.8645637,0.0,0,0.0,0,0,-0.088259299,0.0,232.288,0,0.058182115,-0.088259299,0,246.4,0,3.792771726,0.0,3.609493575,11.0682919,-0.088259299,-0.29850526,77.5775,0,0.0,11.87495,56.98016721,9,0.0,0,0,0,0.0,0,0,0,0,0,-2.78e-17,0,-0.281641578,0,0,0,0,0,0,0.56368,0,0,0,0,0,0,246.39105,0,0,0,-9.25e-19,0,0,0,0,-1.55052,17.981149,2,0.0,0,13.423975
1.0,1,-0.022064852,1.381818182,0.321160919,0.0,3.919484855,4.895483476,7.365,45,14.074406,0.0,0,171.0353995,0.0,0.2142,-0.044129705,1.8818613,-0.043397,0.321160919,0,0,1,4.879057067,65.89701182,0.0,0,0.0,0,0,0.321160919,0.0,162.149,0,0.237545435,0.321160919,0,171.221,0,2.358061798,0.0,-3.519583333,6.927992798,-0.044129705,-0.044129705,173.5453,0,0.0,12.74434,17.69618563,4,0.0,0,1,0,0.0,1,0,0,0,0,5.55e-17,0,-0.044129705,0,0,0,0,0,0,1.2332,0,0,0,0,0,0,171.21692,0,0,0,2.78e-18,0,0,0,0,-0.76782,19.54647,2,13.55677072,0,15.52818
